"any_single","deskmate","sim_s1_s2","girl_s1","girl_s2","roma_s1","roma_s2","gpa_s1","gpa_s2","friend","friend_s1","friend_s2","girl_match","roma_match","mean_gpa","diff_gpa","sim_s1_s2_std","size","size","gendermatch","class_id","school_id","s1","s2"
0,1,0.65,1,0,0,0,4.4,4.2,0,0,0,"1","0",4.3,0.2,-0.257082096998072,"18",18,0,59379,32,731891,773914
0,0,0.956666666666667,1,1,0,0,4.4,5,1,1,1,"2","0",4.7,0.6,1.09198457644303,"18",18,1,59379,32,731891,492505
0,0,0.636666666666667,1,0,0,0,4.4,4,0,0,0,"1","0",4.2,0.4,-0.315737169756381,"18",18,0,59379,32,731891,300996
0,0,0.623333333333333,1,0,0,0,4.4,4.2,0,0,0,"1","0",4.3,0.2,-0.374392242514689,"18",18,0,59379,32,731891,888954
0,0,0.983333333333334,1,1,0,0,4.4,4.6,1,1,1,"2","0",4.5,0.199999999999999,1.20929472195964,"18",18,1,59379,32,731891,706146
0,0,0.623333333333333,1,0,0,0,4.4,5,0,0,0,"1","0",4.7,0.6,-0.374392242514689,"18",18,0,59379,32,731891,288809
0,0,0.983333333333334,1,1,0,0,4.4,4.2,0,0,1,"2","0",4.3,0.2,1.20929472195964,"18",18,1,59379,32,731891,925705
0,0,0.65,1,0,0,0,4.4,4.2,0,0,0,"1","0",4.3,0.2,-0.257082096998072,"18",18,0,59379,32,731891,191079
0,0,0.623333333333333,1,0,0,0,4.4,5,0,0,0,"1","0",4.7,0.6,-0.374392242514689,"18",18,0,59379,32,731891,94905
1,0,0.956666666666667,1,1,0,0,4.4,5,1,1,1,"2","0",4.7,0.6,1.09198457644303,"18",18,1,59379,32,731891,253832
0,0,0.65,1,0,0,0,4.4,4.2,0,0,0,"1","0",4.3,0.2,-0.257082096998072,"18",18,0,59379,32,731891,879977
0,0,0.65,1,0,0,0,4.4,4.6,0,0,1,"1","0",4.5,0.199999999999999,-0.257082096998072,"18",18,0,59379,32,731891,276484
0,0,0.61,1,0,0,0,4.4,3.6,0,0,0,"1","0",4,0.8,-0.433047315272997,"18",18,0,59379,32,731891,773439
0,0,0.973333333333334,1,1,0,0,4.4,4.8,0,1,0,"2","0",4.6,0.399999999999999,1.16530341739091,"18",18,1,59379,32,731891,515780
1,0,0.636666666666667,1,0,0,0,4.4,4,0,0,0,"1","0",4.2,0.4,-0.315737169756381,"18",18,0,59379,32,731891,630545
0,0,0.956666666666667,1,1,0,0,4.4,5,0,0,1,"2","0",4.7,0.6,1.09198457644303,"18",18,1,59379,32,731891,873428
0,0,0.986666666666667,1,1,0,0,4.4,4.2,0,0,1,"2","0",4.3,0.2,1.22395849014922,"18",18,1,59379,32,731891,112069
0,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,773914,492505
0,0,0.986666666666667,0,0,0,0,4.2,4,0,0,1,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,773914,300996
0,0,0.973333333333334,0,0,0,0,4.2,4.2,1,1,1,"0","0",4.2,0,1.16530341739091,"18",18,1,59379,32,773914,888954
0,0,0.633333333333333,0,1,0,0,4.2,4.6,0,0,0,"1","0",4.4,0.399999999999999,-0.330400937945958,"18",18,0,59379,32,773914,706146
0,0,0.94,0,0,0,0,4.2,5,0,0,0,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,773914,288809
0,0,0.666666666666667,0,1,0,0,4.2,4.2,0,0,0,"1","0",4.2,0,-0.183763256050186,"18",18,0,59379,32,773914,925705
0,0,1,0,0,0,0,4.2,4.2,0,0,1,"0","0",4.2,0,1.28261356290753,"18",18,1,59379,32,773914,191079
0,0,0.94,0,0,0,0,4.2,5,1,1,1,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,773914,94905
1,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,773914,253832
0,0,1,0,0,0,0,4.2,4.2,0,0,0,"0","0",4.2,0,1.28261356290753,"18",18,1,59379,32,773914,879977
0,0,0.966666666666667,0,0,0,0,4.2,4.6,0,0,0,"0","0",4.4,0.399999999999999,1.13597588101176,"18",18,1,59379,32,773914,276484
0,0,0.96,0,0,0,0,4.2,3.6,1,1,1,"0","0",3.9,0.6,1.1066483446326,"18",18,1,59379,32,773914,773439
0,0,0.623333333333333,0,1,0,0,4.2,4.8,0,0,0,"1","0",4.5,0.6,-0.374392242514689,"18",18,0,59379,32,773914,515780
1,0,0.986666666666667,0,0,0,0,4.2,4,1,1,1,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,773914,630545
0,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,773914,873428
