"pp","Spikes","Kiki","Congruent","ShownRight","ResponseRight","Accuracy","rt","dominantEye","dateStart","timeStart","age","gender","knowledge"
1,1,0,0,1,1,1,5.32357561471,"r","16/08/2018","15:55",38,"Male","no"
1,1,0,0,1,1,1,4.81284741826,"r","16/08/2018","15:55",38,"Male","no"
1,0,1,0,0,0,1,7.88587174099,"r","16/08/2018","15:55",38,"Male","no"
1,1,1,1,1,1,1,5.43444328666,"r","16/08/2018","15:55",38,"Male","no"
1,0,1,0,1,1,1,8.90338368418,"r","16/08/2018","15:55",38,"Male","no"
1,1,0,0,1,1,1,4.18714652994,"r","16/08/2018","15:55",38,"Male","no"
1,1,0,0,0,0,1,4.8088692184,"r","16/08/2018","15:55",38,"Male","no"
1,1,0,0,0,0,1,2.96151839204,"r","16/08/2018","15:55",38,"Male","no"
1,0,1,0,0,0,1,7.17617770697,"r","16/08/2018","15:55",38,"Male","no"
1,1,0,0,1,1,1,4.94225935945,"r","16/08/2018","15:55",38,"Male","no"
1,0,1,0,0,0,1,6.73217967451,"r","16/08/2018","15:55",38,"Male","no"
1,0,0,1,0,0,1,5.70116955688,"r","16/08/2018","15:55",38,"Male","no"
1,0,1,0,1,1,1,6.06225717975,"r","16/08/2018","15:55",38,"Male","no"
1,1,1,1,1,1,1,7.3892050544,"r","16/08/2018","15:55",38,"Male","no"
1,0,1,0,1,1,1,7.17274022948,"r","16/08/2018","15:55",38,"Male","no"
1,0,0,1,1,1,1,3.71991212246,"r","16/08/2018","15:55",38,"Male","no"
1,1,1,1,1,1,1,4.01214950651,"r","16/08/2018","15:55",38,"Male","no"
1,1,1,1,0,0,1,4.41498785628,"r","16/08/2018","15:55",38,"Male","no"
1,1,1,1,1,1,1,4.97782531693,"r","16/08/2018","15:55",38,"Male","no"
1,0,0,1,1,1,1,5.96297115626,"r","16/08/2018","15:55",38,"Male","no"
1,0,0,1,1,1,1,5.3227138217,"r","16/08/2018","15:55",38,"Male","no"
1,0,0,1,0,0,1,6.14007628726,"r","16/08/2018","15:55",38,"Male","no"
